card,,average_price,average_framerate,perf_per_dollar_framerate,Shaders,Core_Clock_MHz,Memory_GB,Memory_Speed_Gbps,Bandwidth_GBps,Power_Consumption_W,composite_perf_per_dollar,Explanation
Intel Arc A580,,164,33.13333333,0.20203252,16384,2520,24,21,1008,450,,
Intel Arc A750,,239,37.03333333,0.154951185,10240,2550,16,23,736,320,,
Intel Arc A380,,119,18.3,0.153781513,9728,2505,16,22.4,717,320,,
GeForce RTX 4060,,294,42.1,0.143197279,8448,2610,16,21,672,285,,
Radeon RX 6650 XT,,229,31.6,0.137991266,10752,1860,24,21,1008,450,,
GeForce RTX 3050,,224,30.75,0.137276786,7680,2610,12,21,504,285,,
Intel Arc A770 16GB,,299,39.63333333,0.132552954,7168,2475,12,21,504,220,,
GeForce RTX 3070,,424,55.56666667,0.131053459,10496,1695,24,19.5,936,350,,
GeForce RTX 3060,,279,36.53333333,0.130943847,10240,1665,12,19,912,350,,
Radeon RX 6600,,199,25.75,0.129396985,8960,1845,12,19,912,400,,
Radeon RX 6600 XT,,239,30.75,0.128661088,6144,2500,24,20,960,355,,
GeForce RTX 3070 Ti,,499,59.9,0.12004008,5888,2475,12,21,504,200,,
GeForce RTX 4070 Super,,589,69.95,0.118760611,8704,1710,10,19,760,320,,
GeForce RTX 4060 Ti,,374,43.825,0.117179144,5736,2400,20,20,800,315,,
Intel Arc A770 8GB,,343,39.26666667,0.114480078,6144,1770,8,19,608,290,,
GeForce RTX 4070,,549,61.225,0.111520947,5120,2310,16,18,576,335,,
GeForce RTX 4070 Ti,,699,74.625,0.106759657,5888,1725,8,14,448,220,,
GeForce RTX 4060 Ti 16GB,,429,44.625,0.104020979,3840,2430,16,19.5,624,263,,
Radeon RX 6800,,409,42.53333333,0.10399348,5120,2250,16,16,512,300,,
GeForce RTX 3060 Ti,,474,49.06666667,0.103516174,4352,2535,8,18,288,160,,
GeForce RTX 4070 Ti Super,,799,81.775,0.102346683,4352,2535,16,18,288,160,,
Radeon RX 6700 10GB,,299,29.86666667,0.099888517,4608,1770,24,14,672,280,,
Radeon RX 6750 XT,,359,35.26666667,0.09823584,4352,1545,11,14,616,250,,
Radeon RX 7600,,269,26.4,0.098141264,4608,2250,16,16,512,300,,
Radeon RX 6700 XT,,349,32.93333333,0.094364852,4864,1665,8,14,448,200,,
Radeon RX 7800 XT,,489,45.7,0.093456033,3456,2544,12,18,432,245,,
GeForce RTX 4080 Super,,1049,94.575,0.090157293,3840,2105,16,16,512,250,,
Radeon RX 7700 XT,,449,40.375,0.089922049,3072,1815,8,15.5,496,250,,
Radeon RX 6800 XT,,499,41.15,0.08246493,3072,2460,8,17,272,115,,
Radeon RX 6950 XT,,579,47.375,0.081822107,2944,1710,8,14,448,215,,
Radeon RX 7900 XT,,729,59.025,0.080967078,4096,2400,8,16,512,225,,
Radeon RX 7600 XT,,329,25.725,0.078191489,4096,2400,16,17.5,560,225,,
GeForce RTX 4080,,1200,92.25,0.076875,3584,1777,12,15,360,170,,
GeForce RTX 3080 12GB,,894,66.975,0.074916107,2560,1770,8,14,448,215,,
GeForce RTX 3080,,849,61.325,0.072232038,3584,2350,8,16,512,225,,
Radeon RX 7900 XTX,,929,66.525,0.071609257,2560,2600,12,18,432,250,,
Radeon RX 6500 XT,,139,9.9,0.071223022,2560,2581,12,16,384,230,,
GeForce RTX 3080 Ti,,1029,69.4,0.067444121,2304,1620,8,14,448,175,,
Radeon RX 6400,,124,8.3,0.066935484,3072,2300,8,16,512,185,,
Radeon RX 6900 XT,,779,44.275,0.056835687,2176,1650,8,14,448,175,,
GeForce RTX 3090,,1279,71.275,0.055727131,2048,2755,16,18,288,190,,
GeForce RTX 3090 Ti,,1739,76.575,0.044033928,2304,2450,10,16,320,175,,
Titan RTX,,,45.025,,1920,1680,6,14,336,160,,
GeForce RTX 2080 Ti,,,51.5,,2048,2655,8,18,288,165,,
GeForce RTX 2080 Super,,,42.83333333,,2048,2635,8,18,280,180,,
GeForce RTX 2080,,,40.76666667,,2560,1777,8,14,224,130,,
GeForce RTX 2070 Super,,,37.36666667,,2048,2589,8,16,256,160,,
GeForce RTX 2070,,,32.93333333,,1792,2491,8,14,224,132,,
GeForce RTX 2060 Super,,,31.43333333,,1024,2450,6,15.5,186,75,,
GeForce RTX 2060,,,31.9,,1024,2815,4,18,144,107,,
,,,,,768,2321,4,16,128,53,,
